x,y,z,z_var
-150,-150,22.57712572494379,0
-149,-150,22.52492321381402,0
-148,-150,22.467475843448366,0
-147,-150,22.40535760898194,0
-146,-150,22.339189175279984,0
-145,-150,22.26963167545966,0
-144,-150,22.197380105066525,0
-143,-150,22.123156377908757,0
-142,-150,22.047702112933006,0
-141,-150,21.971771224213054,0
-140,-150,21.89612238808957,0
-139,-150,21.821511462726924,0
-138,-150,21.748683935828243,0
-137,-150,21.67836747596872,0
-136,-150,21.61126466197174,0
-135,-150,21.54804596297352,0
-134,-150,21.48934303931713,0
-133,-150,21.435742431211132,0
-132,-150,21.38777969821372,0
-131,-150,21.34593406809863,0
-130,-150,21.310623648569646,0
-129,-150,21.282201249666628,0
-128,-150,21.26095085860422,0
-127,-150,21.247084802265476,0
-126,-150,21.24074162570182,0
-125,-150,21.2419847078367,0
-124,-150,21.250801628204336,0
-123,-150,21.267104291050895,0
-122,-150,21.29072980555816,0
-121,-150,21.32144211339474,0
-120,-150,21.35893434733286,0
-119,-150,21.402831897364297,0
-118,-150,21.452696153679742,0
-117,-150,21.50802888911302,0
-116,-150,21.568277237262254,0
-115,-150,21.63283921654819,0
-114,-150,21.70106974501516,0
-113,-150,21.772287085776732,0
-112,-150,21.845779658705343,0
-111,-150,21.9208131503057,0
-110,-150,21.996637850732515,0
-109,-150,22.072496144643427,0
-108,-150,22.147630081041104,0
-107,-150,22.221288946469034,0
-106,-150,22.292736765892244,0
-105,-150,22.36125965631657,0
-104,-150,22.426172959671547,0
-103,-150,22.486828083687534,0
-102,-150,22.542618982415288,0
-101,-150,22.592988211636733,0
-100,-150,22.63743249866335,0
-99,-150,22.67550777087049,0
-98,-150,22.706833592724273,0
-97,-150,22.731096966967677,0
-96,-150,22.74805546198567,0
-95,-150,22.757539634101757,0
-94,-150,22.759454720603213,0
-93,-150,22.753781586578754,0
-92,-150,22.740576916108264,0
-91,-150,22.719972645894202,0
-90,-150,22.69217464699368,0
-89,-150,22.657460667822917,0
-88,-150,22.61617755898687,0
-87,-150,22.568737807662647,0
-86,-150,22.515615416163982,0
-85,-150,22.4573411658668,0
-84,-150,22.394497313817173,0
-83,-150,22.327711775011355,0
-82,-150,22.257651848476733,0
-81,-150,22.18501754984051,0
-80,-150,22.110534617004955,0
-79,-150,22.03494725881417,0
-78,-150,21.95901071916534,0
-77,-150,21.883483730861357,0
-76,-150,21.809120934603452,0
-75,-150,21.736665338870754,0
-74,-150,21.666840896025196,0
-73,-150,21.6003452688188,0
-72,-150,21.53784285957807,0
-71,-150,21.4799581717156,0
-70,-150,21.427269569898375,0
-69,-150,21.380303501219213,0
-68,-150,21.339529235111446,0
-67,-150,21.30535417456383,0
-66,-150,21.2781197854846,0
-65,-150,21.258098184886926,0
-64,-150,21.24548942198573,0
-63,-150,21.240419479372015,0
-62,-150,21.24293901423648,0
-61,-150,21.2530228522196,0
-60,-150,21.270570238945528,0
-59,-150,21.29540584672649,0
-58,-150,21.327281526379096,0
-57,-150,21.365878786648963,0
-56,-150,21.41081197647003,0
-55,-150,21.46163213826254,0
-54,-150,21.517831493768778,0
-53,-150,21.578848517605557,0
-52,-150,21.644073547840254,0
-51,-150,21.712854877531285,0
-50,-150,21.78450526636847,0
-49,-150,21.85830880735101,0
-48,-150,21.933528079893616,0
-47,-150,22.009411517889234,0
-46,-150,22.085200919109134,0
-45,-150,22.160139020908975,0
-44,-150,22.23347706654682,0
-43,-150,22.30448228651298,0
-42,-150,22.372445220120767,0
-41,-150,22.43668680420313,0
-40,-150,22.49656515808736,0
-39,-150,22.551481997054598,0
-38,-150,22.60088861020298,0
-37,-150,22.64429134298558,0
-36,-150,22.68125652964347,0
-35,-150,22.711414826250632,0
-34,-150,22.73446490107637,0
-33,-150,22.750176445392373,0
-32,-150,22.75839247464138,0
-31,-150,22.75903089697499,0
-30,-150,22.752085333488285,0
-29,-150,22.737625181955725,0
-28,-150,22.715794923431528,0
-27,-150,22.686812678642745,0
-26,-150,22.650968028599053,0
-25,-150,22.60861912119502,0
-24,-150,22.56018909271474,0
-23,-150,22.50616183999395,0
-22,-150,22.447077185482797,0
-21,-150,22.383525483518373,0
-20,-150,22.3161417216993,0
-19,-150,22.245599176299567,0
-18,-150,22.172602685114544,0
-17,-150,22.09788160495472,0
-16,-150,22.02218252415354,0
-15,-150,21.94626180290359,0
-14,-150,21.87087801595554,0
-13,-150,21.796784373190007,0
-12,-150,21.724721193793407,0
-11,-150,21.655408509233347,0
-10,-150,21.589538868942224,0
-9,-150,21.52777042059222,0
-8,-150,21.470720334101316,0
-7,-150,21.41895863507547,0
-6,-150,21.373002509301216,0
-5,-150,21.333311135196205,0
-4,-150,21.300281095850277,0
-3,-150,21.274242416498293,0
-2,-150,21.2554552670171,0
-1,-150,21.244107362394104,0
0,-150,21.240312087141177,0
1,-150,21.244107362394104,0
2,-150,21.2554552670171,0
3,-150,21.274242416498293,0
4,-150,21.300281095850277,0
5,-150,21.333311135196205,0
6,-150,21.373002509301216,0
7,-150,21.41895863507547,0
8,-150,21.470720334101316,0
9,-150,21.52777042059222,0
10,-150,21.589538868942224,0
11,-150,21.655408509233347,0
12,-150,21.724721193793407,0
13,-150,21.796784373190007,0
14,-150,21.87087801595554,0
15,-150,21.94626180290359,0
16,-150,22.02218252415354,0
17,-150,22.09788160495472,0
18,-150,22.172602685114544,0
19,-150,22.245599176299567,0
20,-150,22.3161417216993,0
21,-150,22.383525483518373,0
22,-150,22.447077185482797,0
23,-150,22.50616183999395,0
24,-150,22.56018909271474,0
25,-150,22.60861912119502,0
26,-150,22.650968028599053,0
27,-150,22.686812678642745,0
28,-150,22.715794923431528,0
29,-150,22.737625181955725,0
30,-150,22.752085333488285,0
31,-150,22.75903089697499,0
32,-150,22.75839247464138,0
33,-150,22.750176445392373,0
34,-150,22.73446490107637,0
35,-150,22.711414826250632,0
36,-150,22.68125652964347,0
37,-150,22.64429134298558,0
38,-150,22.60088861020298,0
39,-150,22.551481997054598,0
40,-150,22.49656515808736,0
41,-150,22.43668680420313,0
42,-150,22.372445220120767,0
43,-150,22.30448228651298,0
44,-150,22.23347706654682,0
45,-150,22.160139020908975,0
46,-150,22.085200919109134,0
47,-150,22.009411517889234,0
48,-150,21.933528079893616,0
49,-150,21.85830880735101,0
50,-150,21.78450526636847,0
51,-150,21.712854877531285,0
52,-150,21.644073547840254,0
53,-150,21.578848517605557,0
54,-150,21.517831493768778,0
55,-150,21.46163213826254,0
56,-150,21.41081197647003,0
57,-150,21.365878786648963,0
58,-150,21.327281526379096,0
59,-150,21.29540584672649,0
60,-150,21.270570238945528,0
61,-150,21.2530228522196,0
62,-150,21.24293901423648,0
63,-150,21.240419479372015,0
64,-150,21.24548942198573,0
65,-150,21.258098184886926,0
66,-150,21.2781197854846,0
67,-150,21.30535417456383,0
68,-150,21.339529235111446,0
69,-150,21.380303501219213,0
70,-150,21.427269569898375,0
71,-150,21.4799581717156,0
72,-150,21.53784285957807,0
73,-150,21.6003452688188,0
74,-150,21.666840896025196,0
75,-150,21.736665338870754,0
76,-150,21.809120934603452,0
77,-150,21.883483730861357,0
78,-150,21.95901071916534,0
79,-150,22.03494725881417,0
80,-150,22.110534617004955,0
81,-150,22.18501754984051,0
82,-150,22.257651848476733,0
83,-150,22.327711775011355,0
84,-150,22.394497313817173,0
85,-150,22.4573411658668,0
86,-150,22.515615416163982,0
87,-150,22.568737807662647,0
88,-150,22.61617755898687,0
89,-150,22.657460667822917,0
90,-150,22.69217464699368,0
91,-150,22.719972645894202,0
92,-150,22.740576916108264,0
93,-150,22.753781586578754,0
94,-150,22.759454720603213,0
95,-150,22.757539634101757,0
96,-150,22.74805546198567,0
97,-150,22.731096966967677,0
98,-150,22.706833592724273,0
99,-150,22.67550777087049,0
100,-150,22.63743249866335,0
101,-150,22.592988211636733,0
102,-150,22.542618982415288,0
103,-150,22.486828083687534,0
104,-150,22.426172959671547,0
105,-150,22.36125965631657,0
106,-150,22.292736765892244,0
107,-150,22.221288946469034,0
108,-150,22.147630081041104,0
109,-150,22.072496144643427,0
110,-150,21.996637850732515,0
111,-150,21.9208131503057,0
112,-150,21.845779658705343,0
113,-150,21.772287085776732,0
114,-150,21.70106974501516,0
115,-150,21.63283921654819,0
116,-150,21.568277237262254,0
117,-150,21.50802888911302,0
118,-150,21.452696153679742,0
119,-150,21.402831897364297,0
120,-150,21.35893434733286,0
121,-150,21.32144211339474,0
122,-150,21.29072980555816,0
123,-150,21.267104291050895,0
124,-150,21.250801628204336,0
125,-150,21.2419847078367,0
126,-150,21.24074162570182,0
127,-150,21.247084802265476,0
128,-150,21.26095085860422,0
129,-150,21.282201249666628,0
130,-150,21.310623648569646,0
131,-150,21.34593406809863,0
132,-150,21.38777969821372,0
133,-150,21.435742431211132,0
134,-150,21.48934303931713,0
135,-150,21.54804596297352,0
136,-150,21.61126466197174,0
137,-150,21.67836747596872,0
138,-150,21.748683935828243,0
139,-150,21.821511462726924,0
140,-150,21.89612238808957,0
141,-150,21.971771224213054,0
142,-150,22.047702112933006,0
143,-150,22.123156377908757,0
